nome;endereco;telefone;email
Alexandre Wagner Cardoso Rodrigues ;Alameda Munique, 8922;(63)8883-3216;alexandre_rodrigues@kpomail.com
Alexia Nunes Batista ;Rua São Paulo, 6845;(35)8589-3323;alexia_batista@bbkmail.com
Allana Dalila Costa ;Avenida Amesterdan, 4123;(90)8195-6607;allana_costa@cwbmail.com
Amanda Mercia Ferreira ;Avenida Liverpool, 5176;(74)9155-1532;amanda_ferreira@pnnmail.com
Amanda Souza da Silva ;Rua Manaus, 7162;(34)9780-4304;amanda_silva@wqcmail.com
Ana Carolina Borges de Lacerda ;Alameda São Paulo, 2788;(61)9182-5058;ana_lacerda@itvmail.com
Ana Claudia Souza Inacio ;Alameda Porto Alegre, 3194;(91)8630-4797;ana_inacio@hdbmail.com
Ana Julia Sandes Mariano ;Alameda Salvador, 9997;(63)9810-1315;ana_mariano@wcsmail.com
Ana Taíssa de Resende Falcão ;Avenida Bucareste, 1262;(47)9638-7671;ana_falcão@yecmail.com
Andressa Costa Cabral ;Alameda Cuiabá, 6822;(28)8728-3969;andressa_cabral@oecmail.com
Anny Goncalves Mendes ;Alameda Hanôver, 6227;(48)9282-6200;anny_mendes@ywumail.com
Antonio Guilherme Dutra Cardoso ;Alameda Teerã, 5219;(34)8487-6295;antonio_cardoso@nvkmail.com
Beatriz Ferreira Cabral ;Rua Alexandria, 8634;(43)9640-2641;beatriz_cabral@uwemail.com
Bruno da Rocha Santana ;Alameda Mönchengladbach, 7973;(44)9814-7292;bruno_santana@tldmail.com
Bruno Rodrigues Borelli ;Alameda Kuala Lumpur, 3977;(85)9222-1343;bruno_borelli@zeamail.com
Camila Alves Duarte ;Avenida Barcelona, 1765;(27)9847-8549;camila_duarte@hybmail.com
Camilla Antunes ;Avenida Glasgow, 1765;(72)9771-6167;camilla_antunes@gtgmail.com
Carlos Eduardo Martins de Almeida ;Alameda Nairóbi, 3676;(25)9896-3149;carlos_almeida@ojymail.com
Cayo Germano Faria Alves ;Avenida Chongqing, 3044;(51)8753-6268;cayo_alves@yngmail.com
Cristiano de Almeida Pires ;Alameda Seattle, 2489;(81)9226-7085;cristiano_pires@jramail.com
Daiane Mangabeira Farias ;Avenida Frankfurt, 5757;(59)9961-4575;daiane_farias@uzvmail.com
Débora Silva Sabota ;Avenida Donetsk, 2476;(55)9578-8155;débora_sabota@dylmail.com
Douglas Barros Machado ;Alameda Auckland, 6263;(12)9524-7847;douglas_machado@ufzmail.com
Durval Salviano do Nascimento Júnior ;Rua Londres, 4062;(14)9835-5169;durval_júnior@qzzmail.com
Edmo Alves de Lima Neto ;Alameda Düsseldorf, 2169;(58)9658-7627;edmo_neto@lugmail.com
Eduardo Felipe Ferreira Padilha ;Alameda Trípoli, 9515;(65)9484-7970;eduardo_padilha@qffmail.com
Elaine Pinto Silva Pacheco ;Alameda Annaba, 5909;(79)8203-3999;elaine_pacheco@jcbmail.com
Eliane Andrade Ferreira ;Rua Bamako, 1954;(28)8483-6902;eliane_ferreira@uicmail.com
